time[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],xf[ft],yf[ft],zf[ft],e0,ex,ey,ez
  2.700000000000e-01,  3.329237702459e+01,  0.000000000000e+00,  7.226472593127e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.095389201297e+01,  0.000000000000e+00, -1.989705688400e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.800000000000e-01,  3.287553278586e+01,  0.000000000000e+00,  7.455711351535e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.128472367884e+01,  0.000000000000e+00, -1.988971562912e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.900000000000e-01,  3.246796975262e+01,  0.000000000000e+00,  7.683020940192e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.161143360315e+01,  0.000000000000e+00, -1.988214610432e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.000000000000e-01,  3.206934251539e+01,  0.000000000000e+00,  7.908450644049e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.193411285716e+01,  0.000000000000e+00, -1.987435021384e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.100000000000e-01,  3.167932171774e+01,  0.000000000000e+00,  8.132046684698e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.225284913903e+01,  0.000000000000e+00, -1.986632981422e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.200000000000e-01,  3.129759315406e+01,  0.000000000000e+00,  8.353852387282e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.256772692988e+01,  0.000000000000e+00, -1.985808671722e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.300000000000e-01,  3.092385692887e+01,  0.000000000000e+00,  8.573908336953e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.287882764096e+01,  0.000000000000e+00, -1.984962269267e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.400000000000e-01,  3.055782667287e+01,  0.000000000000e+00,  8.792252525732e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.318622975287e+01,  0.000000000000e+00, -1.984093947111e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.500000000000e-01,  3.019922881136e+01,  0.000000000000e+00,  9.008920490546e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.349000894703e+01,  0.000000000000e+00, -1.983203874633e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.600000000000e-01,  2.984780188081e+01,  0.000000000000e+00,  9.223945443152e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.379023823027e+01,  0.000000000000e+00, -1.982292217777e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
